Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
Snailclimb/JavaGuide;JavaGuide;141978;5.88;0;;;;;;
GrowingGit/GitHub-Chinese-Top-Charts;GitHub-Chinese-Top-Charts;86585;4.55;0;0.0;0.0;0.0;0.0;1.0;5.0
iluwatar/java-design-patterns;java-design-patterns;86114;9.62;0;3.335946248600224;2.6044187030862314;2.0358342665173574;6.789083961339891;6.0;34248.0
MisterBooo/LeetCodeAnimation;LeetCodeAnimation;74852;5.3;0;1.0;0.0;0.0;0.0;1.0;78.0
macrozheng/mall;mall;74810;5.97;3;3.931578947368421;4.950337854666716;1110.7486842105263;8150.19544671998;4.0;100873.0
doocs/advanced-java;advanced-java;73862;5.46;1;;;;;;
spring-projects/spring-boot;spring-boot;72257;11.43;269;5.496085409252669;5.986990352245214;8.647330960854093;93.46272752880138;12.0;210908.0
krahets/hello-algo;hello-algo;71746;1.38;7;2.0277777777777777;1.0840453500604366;4.685185185185185;10.414242516281666;1.0;3862.0
kdn251/interviews;interviews;61409;7.1;0;1.1945525291828794;1.2511043736856933;0.2918287937743191;0.9275566004039967;2.0;5621.0
spring-projects/spring-framework;spring-framework;54791;13.3;285;5.296785028790787;6.897963775730645;30.851547504798464;275.16035452837156;70.0;697852.0
google/guava;guava;49231;9.82;43;3.8805831265508686;5.437526546631586;47.398263027295286;447.9389271469478;66.0;259834.0
ReactiveX/RxJava;RxJava;47589;11.21;233;2.524062368310156;5.252153293437896;47.416603455541505;1802.9029042262234;26.0;370187.0
NationalSecurityAgency/ghidra;ghidra;46880;5.06;33;;;;;;
apache/dubbo;dubbo;39913;11.76;95;5.171377299237326;5.574308732286044;41.310004486316735;432.7428876519224;7.0;215230.0
skylot/jadx;jadx;38542;11.02;28;4.496911196911197;6.551473508388029;30.716988416988418;281.05018139191515;21.0;115471.0
jeecgboot/jeecg-boot;jeecg-boot;37402;5.32;37;7.500695410292073;9.758399231763068;53.255910987482615;296.7657297401964;4.0;41058.0
PhilJay/MPAndroidChart;MPAndroidChart;37185;9.91;44;8.843137254901961;9.990268236572902;91.0326797385621;516.9504776259091;6.0;21111.0
eugenp/tutorials;tutorials;35803;10.9;0;4.069439566504441;4.032455105380372;6.183733881892529;43.052547062465166;11.0;444863.0
bumptech/glide;glide;34283;10.71;47;6.019269102990033;6.486604709846504;19.809966777408636;157.74055752628496;20.0;60368.0
Blankj/AndroidUtilCode;AndroidUtilCode;32865;7.65;117;4.165671641791045;5.557113291177971;144.9313432835821;959.7912341737151;10.0;39929.0
